1	LINC00115	-	-
1	SAMD11	925941	944152
1	NOC2L	944693	959239
1	PLEKHN1	966531	974574
1	HES4	999058	999972
1	ISG15	1013573	1014477
1	C1orf159	1082892	1091542
1	TTLL10	1180053	1185141
1	TNFRSF18	1203590	1206570
1	TNFRSF18	1203843	1206570
1	TNFRSF4	1211554	1214126
1	SDF4	1217669	1228792
1	B3GALT6	1232278	1233267
1	UBE2J2	1255202	1267991
1	UBE2J2	1255202	1267991
1	UBE2J2	1255202	1263360
1	UBE2J2	1232589	1243294
1	SCNN1D	1219404	1226989
1	ACAP3	1293563	1307814
1	PUSL1	1308643	1311378
1	CPSF3L	1311858	1324607
1	DVL1	1336141	1349064
1	DVL1	1261384	1264926
1	MXRA8	1353603	1358503
1	AURKAIP1	1373800	1374755
1	MRPL20	1402082	1407216
1	VWA1	1435748	1439786
1	VWA1	1435748	1437442
1	ATAD3C	1483318	1489361
1	ATAD3B	1471884	1495816
1	ATAD3A	1512268	1534071
1	SSU72	1542065	1574556
1	SLC35E2	1732454	1739556
1	GNB1	1787330	1825452
1	TMEM52	1917881	1919264
1	GABRD	2019423	2030281
1	PRKCZ	2050630	2185008
1	FAAP20	2189708	2194748
1	SKI	2228766	2306764
1	MORN1	2321382	2391532
1	PEX10	2405765	2412501
1	PANK4	-	-
1	FAM213B	2586795	2589426
1	ACTRT2	3021686	3022819
1	ARHGEF16	3463084	3480586
1	TPRG1L	3625072	3628602
1	WRAP73	3630974	3649998
1	TP73	3682365	3733078
1	CCDC27	3752481	3771522
1	LRRC47	3781087	3796475
1	DFFB	3857603	3883740
1	C1orf174	3889959	3900185
1	AJAP1	4655425	4774498
1	KCNAB2	6040568	6098573
1	KCNAB2	6040568	6098573
1	CHD5	6106279	6180022
1	RPL22	6186671	6199572
1	RNF207	6206535	6219406
1	C1orf188	6192114	6194686
1	ICMT	6225079	6235910
1	ICMT	6219405	6227964
1	LINC00337	6221280	6221570
1	GPR153	6249337	6254904
1	ACOT7	6264596	6385665
1	ACOT7	6264596	6360651
1	ACOT7	6264596	6358844
1	ACOT7	-	-
1	ACOT7	-	-
1	ESPN	6424955	6460145
1	TNFRSF25	6461433	6466106
1	TNFRSF25	6461433	6466106
1	TNFRSF25	6461433	6466106
1	TNFRSF25	6461433	6466106
1	TNFRSF25	6461433	6466106
1	TNFRSF25	6456447	6460432
