Chr	gene_name	start	end	exon_list
9	CBWD1	121466	178968	[121466-121572, 121960-122089, 123216-123281, 123385-123453, 134978-135029, 146101-146157, 152033-152077, 154708-154794, 156480-156526, 162431-162468, 163977-164036, 172080-172171, 173269-173365, 175697-175783, 178815-178968]
9	C9orf66	214508	215395	[214508-215395]
9	DOCK8	214976	464218	[214976-215028, 271626-271728, 286460-286635, 289509-289580, 304580-304703, 311953-312165, 317042-317127, 325670-325736, 328021-328170, 332397-332477, 334224-334383, 336581-336717, 339005-339098, 340158-340320, 368017-368134, 370229-370299, 371427-371565, 372184-372285, 376209-376304, 376976-377210, 379770-379934, 382512-382684, 386330-386425, 390470-390565, 396784-396933, 399145-399258, 404917-405072, 406929-407068, 414781-414950, 418067-418206, 420400-420582, 420948-421077, 422047-422134, 426884-426980, 428361-428495, 429701-429853, 432165-432323, 433874-433974, 434782-434974, 439244-439387, 441285-441416, 441874-442008, 443426-443515, 446369-446605, 449783-449926, 452010-452116, 463516-463686, 464158-464218]
9	KANK1	711240	745234	[711240-713463, 730050-730247, 731157-731265, 732377-732616, 734747-734834, 738284-738503, 740791-740933, 742204-742404, 744490-744588, 745172-745234]
9	DMRT1	841838	968138	[841838-842191, 846959-847142, 893911-894194, 916762-916906, 967984-968138]
9	DMRT3	977001	991004	[977001-977454, 990040-991004]
9	DMRT2	1051613	1057272	[1051613-1052137, 1053721-1053823, 1056215-1057272]
9	DMRT2	1051613	1055773	[1051613-1052137, 1053721-1053823, 1055721-1055773]
9	VLDLR	2622189	2653867	[2622189-2622270, 2635452-2635571, 2639858-2639980, 2641376-2641498, 2643159-2643530, 2643627-2643749, 2643836-2643958, 2644733-2644852, 2644956-2645081, 2645573-2645744, 2646333-2646551, 2647473-2647591, 2648207-2648346, 2648668-2648809, 2650369-2650515, 2651414-2651497, 2651873-2651953, 2652779-2652948, 2653832-2653867]
9	KCNV2	2717739	2729726	[2717739-2719094, 2729445-2729726]
9	PUM3	2804330	2838506	[2804330-2804462, 2807813-2807903, 2810343-2810430, 2811360-2811582, 2812219-2812361, 2820017-2820097, 2823780-2823833, 2824716-2824814, 2827072-2827150, 2828674-2828777, 2829773-2829947, 2830961-2831027, 2831250-2831343, 2833356-2833431, 2834030-2834165, 2837179-2837400, 2838425-2838506]
9	RFX3	3225041	3395587	[3225041-3225279, 3228846-3228888, 3248031-3248184, 3256990-3257198, 3262934-3263083, 3266207-3266304, 3270370-3270524, 3271002-3271117, 3275499-3275611, 3277339-3277460, 3288130-3288249, 3293076-3293257, 3301545-3301619, 3330258-3330516, 3346666-3346763, 3395471-3395587]
9	RFX3	3247875	3395587	[3247875-3248184, 3256990-3257198, 3262934-3263083, 3266207-3266304, 3270370-3270524, 3271002-3271117, 3275499-3275611, 3277339-3277460, 3288130-3288249, 3293076-3293257, 3301545-3301619, 3330258-3330516, 3346666-3346763, 3395471-3395587]
9	GLIS3	3828271	4125863	[3828271-3828407, 3829309-3829491, 3856008-3856183, 3879426-3879594, 3898690-3898834, 3932359-3932469, 3937027-3937188, 4117767-4118880, 4125733-4125863]
9	SLC1A1	4490679	4585557	[4490679-4490769, 4544566-4544706, 4561448-4561540, 4564343-4564457, 4566046-4566088, 4567668-4567766, 4572203-4572387, 4573906-4574013, 4576000-4576122, 4576568-4576762, 4583037-4583171, 4585311-4585557]
9	SPATA6L	4594179	4656249	[4594179-4594268, 4595346-4595439, 4607922-4608109, 4608863-4608897, 4612407-4612509, 4615326-4615565, 4619090-4619167, 4625274-4625398, 4646040-4646088, 4651898-4652035, 4656211-4656249]
9	CDC37L1	4679767	4706111	[4679767-4679898, 4684876-4685157, 4688512-4688605, 4697095-4697210, 4697756-4697878, 4701863-4702027, 4706010-4706111]
9	AK3	4712975	4741086	[4712975-4713095, 4718418-4718536, 4719134-4719306, 4722505-4722624, 4740936-4741086]
9	RCL1	4793091	4860274	[4793091-4793226, 4823547-4823618, 4826857-4827032, 4833153-4833227, 4834140-4834264, 4841231-4841356, 4844524-4844680, 4849446-4849549, 4860124-4860274]
9	JAK2	5021987	5126790	[5021987-5022212, 5029782-5029905, 5044402-5044519, 5050685-5050830, 5054562-5054883, 5055668-5055787, 5064882-5065039, 5066677-5066788, 5069021-5069207, 5069924-5070051, 5072491-5072625, 5073697-5073784, 5077452-5077579, 5078305-5078443, 5080228-5080379, 5080532-5080682, 5081724-5081860, 5089673-5089862, 5090445-5090569, 5090738-5090910, 5123003-5123120, 5126332-5126445, 5126683-5126790]
9	INSL6	5163912	5185601	[5163912-5164264, 5185313-5185601]
9	INSL4	5231523	5233876	[5231523-5231718, 5233653-5233876]
9	RLN2	5300097	5304579	[5300097-5300443, 5304369-5304579]
9	RLN2	5290402	5294579	[5290402-5290443, 5294095-5294195, 5294369-5294579]
9	RLN1	5335250	5339745	[5335250-5335596, 5339535-5339745]
9	PLGRKT	5358238	5431976	[5358238-5358359, 5361077-5361186, 5361757-5361887, 5431896-5431976]
9	CD274	5456113	5467861	[5456113-5456164, 5457078-5457419, 5462833-5463120, 5465498-5465605, 5466769-5466828, 5467839-5467861]
