Chr	gene_name	start	end	exon_list
10	TUBB8	47056	49237	[47056-48113, 48614-48724, 48803-48911, 49181-49237]
10	ZMYND11	180012	252469	[180012-180127, 209888-210047, 221194-221355, 236837-236914, 237584-237676, 239437-239524, 240055-240110, 240892-240969, 242020-242138, 246765-246972, 247397-247465, 248335-248607, 248902-249087, 252347-252469]
10	ZMYND11	180012	249108	[180012-180127, 209888-210047, 221194-221355, 236837-236914, 237584-237676, 239437-239524, 240058-240110, 240892-240969, 242020-242138, 246765-246972, 247397-247465, 248335-248607, 248902-249108]
10	DIP2C	277324	689577	[277324-277576, 281199-281322, 283271-283445, 286272-286346, 288363-288420, 310030-310091, 327005-327175, 329432-329600, 341198-341328, 344808-344917, 344998-345109, 348640-348761, 349330-349453, 356425-356505, 357827-357936, 362489-362690, 363196-363310, 364373-364581, 366274-366410, 369493-369632, 382646-382760, 384026-384145, 384545-384638, 387744-387808, 389990-390092, 390263-390372, 390739-390862, 399108-399218, 408925-409016, 413912-414109, 415768-415887, 419064-419198, 422823-423032, 440870-440995, 472438-472548, 486458-486529, 689493-689577]
10	IDI2	1019516	1024722	[1019516-1019833, 1020766-1020896, 1022682-1022774, 1024581-1024722]
10	IDI1	1041186	1049002	[1041186-1041503, 1042631-1042761, 1043300-1043392, 1043998-1044170, 1048863-1049002]
10	WDR37	1072155	1129343	[1072155-1072292, 1077906-1078002, 1080010-1080105, 1080411-1080475, 1084402-1084537, 1086285-1086356, 1093451-1093495, 1096169-1096245, 1103601-1103835, 1105125-1105266, 1124217-1124351, 1124909-1125023, 1129212-1129343]
10	ADARB2	1183192	1737149	[1183192-1183368, 1184860-1185038, 1199965-1200146, 1216950-1217118, 1233693-1233844, 1242130-1242298, 1270954-1271068, 1363027-1363916, 1379073-1379159, 1737050-1737149]
10	PFKP	3067595	3136578	[3067595-3067706, 3082387-3082460, 3099274-3099351, 3101364-3101553, 3103778-3103943, 3105114-3105158, 3105392-3105500, 3107213-3107308, 3108700-3108792, 3109354-3109479, 3112221-3112285, 3113118-3113187, 3113371-3113517, 3116775-3116845, 3118781-3118868, 3119891-3120043, 3129818-3129982, 3132379-3132440, 3133202-3133313, 3134482-3134581, 3135735-3135837, 3136449-3136578]
10	KLF6	3779538	3785013	[3779538-3779589, 3780105-3780228, 3781640-3782213, 3784912-3785013]
10	AKR1C1	4963444	4977741	[4963444-4963527, 4965913-4966080, 4966926-4967042, 4968308-4968385, 4968821-4968943, 4972200-4972309, 4972583-4972748, 4975850-4975932, 4977699-4977741]
10	AKR1C2	4989995	5003834	[4989995-4990037, 4991830-4991912, 4995318-4995483, 4995755-4995864, 4998624-4998746, 4999199-4999276, 5000549-5000665, 5001513-5001680, 5003751-5003834]
10	AKR1C3	5094444	5107502	[5094444-5094527, 5096409-5096576, 5097433-5097549, 5098801-5098878, 5099326-5099448, 5102100-5102209, 5102484-5102649, 5105594-5105676, 5107460-5107502]
10	AKR1C4	5196867	5218759	[5196867-5196950, 5200180-5200347, 5204376-5204492, 5205756-5205833, 5206274-5206396, 5212615-5212724, 5212993-5213158, 5216710-5216792, 5218717-5218759]
10	UCN3	5373720	5374205	[5373720-5374205]
10	TUBAL3	5393516	5404791	[5393516-5394460, 5395326-5395474, 5400843-5401086, 5404789-5404791]
10	NET1	5446765	5456993	[5446765-5446857, 5451829-5451936, 5452357-5452524, 5452857-5452919, 5453249-5453345, 5453483-5453559, 5454264-5454521, 5454947-5455117, 5456086-5456272, 5456587-5456993]
10	CALML5	5498997	5499437	[5498997-5499437]
10	CALML3	5525085	5525534	[5525085-5525534]
10	ASB13	5640702	5666550	[5640702-5640829, 5641769-5641960, 5648969-5649103, 5651212-5651362, 5652862-5653049, 5666508-5666550]
10	GDI2	5766005	5813257	[5766005-5766151, 5766240-5766294, 5766493-5766637, 5768212-5768383, 5773841-5773940, 5785141-5785272, 5785851-5786049, 5794884-5795018, 5796762-5796861, 5800597-5800704, 5813213-5813257]
10	FBXO18	5890345	5937279	[5890345-5890345, 5903019-5903174, 5906036-5906631, 5908924-5909054, 5909158-5909293, 5910937-5911127, 5913746-5913838, 5914177-5914268, 5915402-5915570, 5916233-5916455, 5917419-5917506, 5917589-5917675, 5918341-5918477, 5921257-5921356, 5921447-5921568, 5923620-5923695, 5924310-5924507, 5925366-5925491, 5927434-5927540, 5936455-5936586, 5937109-5937279]
10	FBXO18	5894489	5937279	[5894489-5894510, 5895055-5895186, 5903019-5903174, 5906036-5906631, 5908924-5909054, 5909158-5909293, 5910937-5911127, 5913746-5913838, 5914177-5914268, 5915402-5915570, 5916233-5916455, 5917419-5917506, 5917589-5917675, 5918341-5918477, 5921257-5921356, 5921447-5921568, 5923620-5923695, 5924310-5924507, 5925366-5925491, 5927434-5927540, 5936455-5936586, 5937109-5937279]
10	IL15RA	5953094	5977491	[5953094-5953205, 5956378-5956453, 5959753-5959785, 5960366-5960566, 5963742-5963840, 5966144-5966338, 5977404-5977491]
10	IL15RA	5953094	5977491	[5953094-5953205, 5956378-5956453, 5959753-5959785, 5960366-5960566, 5966144-5966338, 5977404-5977491]
10	IL2RA	6012871	6062150	[6012871-6012895, 6018052-6018118, 6019427-6019498, 6019869-6019940, 6021477-6021692, 6024243-6024353, 6025833-6026024, 6062087-6062150]
10	RBM17	6097065	6115555	[6097065-6097187, 6101270-6101386, 6104930-6105096, 6106140-6106237, 6108685-6108741, 6109985-6110126, 6112209-6112360, 6113507-6113580, 6114048-6114146, 6115238-6115310, 6115452-6115555]
10	PFKFB3	6203260	6232941	[6203260-6203335, 6213622-6213747, 6215220-6215316, 6216124-6216190, 6216705-6216779, 6217134-6217190, 6219568-6219692, 6220657-6220864, 6221380-6221526, 6221640-6221744, 6222854-6222983, 6223957-6224019, 6224148-6224212, 6226191-6226364, 6232894-6232941]
10	PRKCQ	6428206	6515134	[6428206-6428361, 6430809-6430937, 6441892-6442080, 6456673-6456811, 6462302-6462364, 6464312-6464403, 6478991-6479164, 6483439-6483599, 6485151-6485268, 6486034-6486143, 6491682-6491811, 6497034-6497119, 6497219-6497250, 6498395-6498557, 6507435-6507495, 6510994-6511193, 6515017-6515134]
10	KIN	7756079	7787932	[7756079-7756141, 7759889-7759989, 7762456-7762555, 7763722-7763790, 7766052-7766102, 7769215-7769344, 7774830-7774890, 7775750-7775798, 7778837-7779018, 7780055-7780177, 7780263-7780306, 7783080-7783174, 7787819-7787932]
10	ATP5C1	7788207	7807661	[7788207-7788262, 7796120-7796154, 7797046-7797177, 7798989-7799193, 7799771-7799914, 7800026-7800090, 7802269-7802424, 7802757-7802853, 7807658-7807661]
10	GATA3-AS1	8132832	8133209	[8132832-8133209]
10	GATA3	8055655	8074022	[8055655-8055895, 8058304-8058840, 8063995-8064137, 8069472-8069597, 8073738-8074022]
10	ECHDC3	11742576	11763543	[11742576-11742745, 11747348-11747469, 11749494-11749591, 11755407-11755607, 11763223-11763543]
10	PROSER2	11852077	11870405	[11852077-11852214, 11866530-11866782, 11869489-11870405]
10	UPF2	11921297	12035422	[11921297-11921306, 11929864-11929984, 11931640-11931781, 11936544-11936711, 11942664-11942762, 11943063-11943167, 11948368-11948507, 11952065-11952248, 11955231-11955506, 11956319-11956522, 11959170-11959355, 11964008-11964124, 11967340-11967453, 11979056-11979164, 11997671-11997756, 11999905-12000008, 12001675-12001824, 12004529-12004726, 12014023-12014183, 12028744-12029523, 12035058-12035422]
10	DHTKD1	12069033	12120887	[12069033-12069186, 12081471-12081626, 12084539-12084750, 12087534-12087728, 12088985-12089254, 12091512-12091683, 12094072-12094270, 12097683-12097995, 12100177-12100261, 12101041-12101180, 12106245-12106395, 12107908-12108014, 12112899-12113063, 12117672-12117754, 12118748-12118917, 12120181-12120266, 12120786-12120887]
10	SEC61A2	12129787	12164453	[12129787-12129793, 12133240-12133307, 12136104-12136169, 12143116-12143194, 12149594-12149725, 12149851-12149960, 12155777-12155930, 12156906-12157066, 12157907-12158104, 12160929-12161120, 12162212-12162288, 12164267-12164453]
10	NUDT5	12167701	12186290	[12167701-12167810, 12170716-12170769, 12170899-12170907, 12172764-12172865, 12173717-12173812, 12177792-12177899, 12179082-12179131, 12184888-12184955, 12186228-12186290]
10	CDC123	12196245	12250336	[12196245-12196318, 12198704-12198775, 12209966-12210023, 12210289-12210321, 12215739-12215834, 12217360-12217466, 12230947-12230995, 12235047-12235122, 12237143-12237265, 12238456-12238484, 12246148-12246276, 12249580-12249717, 12250310-12250336]
10	CAMK1D	12349818	12828886	[12349818-12349909, 12553224-12553355, 12666735-12666809, 12760947-12761085, 12769672-12769798, 12791157-12791232, 12814194-12814306, 12816249-12816327, 12824464-12824551, 12825572-12825689, 12828768-12828886]
10	CAMK1D	12349818	12825724	[12349818-12349909, 12553224-12553355, 12666735-12666809, 12760947-12761085, 12769672-12769798, 12791157-12791232, 12814194-12814306, 12816249-12816327, 12824464-12824551, 12825572-12825724]
10	CCDC3	12898415	13001569	[12898415-12898678, 12998337-12998511, 13001196-13001569]
10	OPTN	13109122	13136865	[13109122-13109287, 13110273-13110475, 13112452-13112634, 13116266-13116339, 13118887-13119039, 13122384-13122486, 13123994-13124109, 13125417-13125566, 13125945-13126038, 13127744-13127902, 13132066-13132196, 13133501-13133580, 13136744-13136865]
10	MCM10	13164202	13209309	[13164202-13164208, 13170921-13171262, 13172375-13172479, 13172627-13172764, 13175509-13175680, 13180441-13180606, 13182932-13183099, 13186163-13186279, 13188880-13189079, 13191298-13191398, 13192254-13192364, 13192450-13192567, 13195040-13195268, 13197622-13197766, 13198688-13198806, 13201420-13201533, 13204218-13204363, 13209090-13209132, 13209226-13209309]
10	MCM10	13164202	13209309	[13164202-13164208, 13170921-13171262, 13172375-13172479, 13172624-13172764, 13175509-13175680, 13180441-13180606, 13182932-13183099, 13186163-13186279, 13188880-13189079, 13191298-13191398, 13192254-13192364, 13192450-13192567, 13195040-13195268, 13197622-13197766, 13198688-13198806, 13201420-13201533, 13204218-13204363, 13209090-13209132, 13209226-13209309]
10	PHYH	13278300	13300041	[13278300-13278353, 13280975-13281109, 13283689-13283838, 13288359-13288540, 13291830-13291911, 13294427-13294595, 13295495-13295605, 13298186-13298244, 13299967-13300041]
10	SEPHS1	13319141	13344949	[13319141-13319355, 13322834-13323046, 13328350-13328449, 13329697-13329787, 13333816-13333970, 13336242-13336349, 13338704-13338807, 13344757-13344949]
10	BEND7	13439171	13500068	[13439171-13439496, 13447265-13447318, 13452538-13452657, 13480898-13481123, 13492610-13492875, 13496765-13496887, 13499777-13500068]
10	PRPF18	13587086	13630339	[13587086-13587151, 13597457-13597534, 13600243-13600347, 13605630-13605743, 13610038-13610184, 13611614-13611682, 13613740-13613880, 13614014-13614085, 13616397-13616552, 13630259-13630339]
10	FRMD4A	13651904	14330101	[13651904-13651973, 13654415-13654511, 13656635-13657521, 13659322-13659489, 13660315-13660552, 13663452-13663508, 13666096-13666324, 13670405-13670527, 13674910-13675043, 13693897-13694038, 13701339-13701477, 13707036-13707112, 13737843-13737929, 13740193-13740250, 13740511-13740576, 13747735-13747818, 13761646-13761668, 13762623-13762679, 13782921-13783005, 13796495-13796587, 13810813-13810907, 13858846-13858911, 14330057-14330101]
10	FAM107B	14521189	14774662	[14521189-14521305, 14521868-14522018, 14530331-14530514, 14667633-14667690, 14774252-14774662]
10	HSPA14	14838402	14871605	[14838402-14838458, 14839904-14839984, 14840074-14840156, 14848608-14848656, 14848789-14848894, 14849720-14849810, 14851218-14851322, 14852369-14852530, 14854124-14854279, 14855840-14855942, 14867082-14867294, 14867735-14867908, 14870596-14870666, 14871527-14871605]
10	SUV39H2	14896848	14902511	[14896848-14897516, 14899538-14899684, 14901132-14901261, 14902405-14902511]
10	DCLRE1C	14908407	14939825	[14908407-14909329, 14919737-14919831, 14922980-14923068, 14926842-14926896, 14928015-14928151, 14932853-14932954, 14934379-14934519, 14934702-14934774, 14935462-14935563, 14939809-14939825]
10	OLAH	15047288	15073228	[15047288-15047319, 15049634-15049764, 15056823-15056981, 15061723-15061861, 15064402-15064501, 15065583-15065752, 15071794-15071876, 15073086-15073228]
10	C10orf111	15096356	15096823	[15096356-15096823]
10	RPP38	15103314	15104165	[15103314-15104165]
10	NMT2	15109194	15168611	[15109194-15109214, 15109701-15109838, 15112795-15112962, 15119342-15119512, 15128349-15128457, 15130141-15130311, 15132816-15132932, 15133052-15133143, 15133244-15133362, 15135273-15135417, 15141421-15141556, 15168502-15168611]
