Chr	gene_name	start	end	exon_list
5	CCDC127	205296	216848	[205296-205957, 216728-216848]
5	SDHA	218355	256419	[218355-218417, 223481-223567, 224359-224520, 225418-225561, 225882-226046, 228184-228332, 230875-230999, 233476-233644, 235143-235338, 236427-236598, 240357-240475, 250991-251102, 251337-251467, 254392-254505, 256333-256419]
5	PDCD6	271720	314514	[271720-271820, 272710-272771, 304176-304220, 306601-306759, 311292-311401, 314416-314514]
5	SLC9A3	473378	524321	[473378-473381, 474882-475131, 475560-475670, 476019-476091, 476201-476377, 476542-476671, 477331-477443, 479835-479964, 481564-481634, 482067-482156, 482547-482749, 483261-483481, 484519-484696, 485152-485230, 488315-488475, 491768-492070, 524111-524321]
5	TPPP	665101	678059	[665101-665295, 665969-666122, 677749-678059]
5	ZDHHC11	801106	850601	[801106-801163, 814760-814794, 819524-819611, 821860-821894, 825163-825250, 833772-833806, 837364-837479, 840494-840649, 843599-843723, 847513-847614, 848481-848659, 850380-850601]
5	TRIP13	892998	917102	[892998-893089, 894786-894951, 896664-896793, 900493-900548, 901340-901430, 904147-904219, 907129-907192, 907987-908073, 908354-908460, 911842-911995, 914464-914576, 915903-915972, 917007-917102]
5	NKD2	1009057	1038372	[1009057-1009081, 1009178-1009213, 1009480-1009559, 1032151-1032211, 1033371-1033498, 1034234-1034329, 1034755-1034902, 1035388-1035472, 1036256-1036383, 1037804-1038372]
5	SLC6A18	1225477	1246077	[1225477-1225636, 1232218-1232358, 1232750-1232887, 1235480-1235661, 1237949-1238059, 1239449-1239561, 1240530-1240658, 1242706-1242862, 1243554-1243758, 1244213-1244372, 1244607-1244766, 1245847-1246077]
5	TERT	1253727	1294988	[1253727-1253830, 1254367-1254504, 1255286-1255410, 1258597-1258658, 1260473-1260599, 1264403-1264591, 1266463-1266534, 1268519-1268632, 1271118-1271203, 1272184-1272279, 1278640-1278795, 1279290-1279469, 1280157-1280337, 1282428-1282623, 1293312-1294665, 1294770-1294988]
5	CLPTM1L	1318368	1344840	[1318368-1318452, 1320615-1320730, 1321634-1321678, 1321763-1321818, 1322876-1322910, 1323786-1323868, 1324762-1324812, 1325750-1325815, 1330279-1330382, 1331798-1331882, 1334288-1334382, 1335056-1335173, 1337903-1337981, 1338859-1339004, 1341670-1341859, 1344350-1344450, 1344679-1344840]
5	SLC6A3	1394734	1443196	[1394734-1394757, 1400914-1400985, 1402921-1403088, 1406187-1406287, 1409025-1409124, 1409720-1409848, 1411242-1411354, 1414690-1414814, 1416097-1416200, 1420568-1420702, 1421875-1422013, 1432463-1432697, 1441358-1441489, 1442911-1443196]
5	LPCAT1	1463650	1523843	[1463650-1463834, 1466748-1466889, 1470825-1470923, 1473956-1474109, 1474559-1474684, 1477403-1477485, 1479620-1479674, 1480941-1480975, 1483427-1483485, 1488390-1488450, 1489745-1489857, 1494699-1494913, 1501460-1501602, 1523709-1523843]
5	MRPL36	1798623	1798934	[1798623-1798934]
5	NDUFS6	1801417	1815915	[1801417-1801548, 1802320-1802373, 1814338-1814460, 1815850-1815915]
5	IRX4	1877968	1882646	[1877968-1878791, 1879503-1879831, 1880724-1880833, 1881807-1882058, 1882602-1882646]
5	IRX2	2747563	2751412	[2747563-2747615, 2748344-2749051, 2749381-2749786, 2751164-2751412]
5	NSUN2	6599925	6632978	[6599925-6600231, 6602460-6602499, 6604137-6604275, 6604604-6604684, 6605272-6605407, 6606819-6606911, 6607199-6607383, 6609825-6609921, 6610954-6611084, 6611724-6611797, 6616726-6616856, 6617949-6618023, 6620105-6620297, 6622015-6622099, 6623213-6623284, 6625563-6625668, 6631872-6631976, 6632598-6632755, 6632883-6632978]
5	SRD5A1	6633576	6668267	[6633576-6633868, 6651841-6652007, 6656077-6656178, 6662815-6662965, 6668201-6668267]
5	PAPD7	6737543	6754944	[6737543-6737632, 6738682-6738728, 6739731-6739851, 6742489-6742596, 6743711-6743839, 6746213-6746426, 6748463-6748589, 6749556-6749656, 6750330-6750502, 6751038-6751196, 6752872-6753036, 6754750-6754944]
5	ADCY2	7396296	7826870	[7396296-7396505, 7414572-7414769, 7520737-7520898, 7626166-7626315, 7690690-7690838, 7695751-7695862, 7698246-7698373, 7706743-7706901, 7707705-7707837, 7709210-7709386, 7712855-7712898, 7717156-7717236, 7724544-7724613, 7727163-7727260, 7743667-7743751, 7757448-7757585, 7766686-7766805, 7772931-7773100, 7784364-7784448, 7789641-7789799, 7802217-7802363, 7804584-7804691, 7816865-7816979, 7820564-7820688, 7826718-7826870]
5	FASTKD3	7859434	7868082	[7859434-7859538, 7861148-7861262, 7861582-7861651, 7862822-7862996, 7865897-7865982, 7866645-7868082]
