CHROM	Position	AC	PolyPhen
1	934388	5	N/A
1	934388	5	N/A
1	934388	5	N/A
1	934391	1	N/A
1	934391	1	N/A
1	934391	1	N/A
1	934392	1	N/A
1	934392	1	N/A
1	934392	1	N/A
1	934395	1	N/A
1	934395	1	N/A
1	934395	1	N/A
1	934398	1	N/A
1	934398	1	N/A
1	934398	1	N/A
1	934400	1	N/A
1	934400	1	N/A
1	934400	1	N/A
1	934402	3	N/A
1	934402	3	N/A
1	934402	3	N/A
1	934405	1	N/A
1	934405	1	N/A
1	934405	1	N/A
1	934406	2	N/A
1	934406	2	N/A
1	934406	2	N/A
1	934407	1	N/A
1	934407	1	N/A
1	934407	1	N/A
1	934411	1	N/A
1	934411	1	N/A
1	934411	1	N/A
1	934415	1	N/A
1	934415	1	N/A
1	934415	1	N/A
1	934416	6	N/A
1	934416	6	N/A
1	934416	6	N/A
1	934417	5	N/A
1	934417	5	N/A
1	934417	5	N/A
1	934428	8	N/A
1	934428	8	N/A
1	934428	8	N/A
1	934437	1	N/A
1	934437	1	N/A
1	934437	1	N/A
1	934439	2	N/A
1	934439	2	N/A
1	934439	2	N/A
1	934444	1	benign
1	934444	1	N/A
1	934444	1	N/A
1	934447	1	benign
1	934447	1	N/A
1	934447	1	N/A
1	934452	43	benign
1	934452	43	N/A
1	934452	43	N/A
1	934455	1	benign
1	934455	1	N/A
1	934455	1	N/A
1	934460	2	N/A
1	934460	2	N/A
1	934460	2	N/A
1	934461	1	N/A
1	934461	1	N/A
1	934461	1	N/A
1	934462	2	N/A
1	934462	2	N/A
1	934462	2	N/A
1	934467	1	benign
1	934467	1	N/A
1	934467	1	N/A
1	934469	1	N/A
1	934469	1	N/A
1	934469	1	N/A
1	934478	6	N/A
1	934478	6	N/A
1	934478	6	N/A
1	934487	3	N/A
1	934487	3	N/A
1	934487	3	N/A
1	934488	10	benign
1	934488	10	N/A
1	934488	10	N/A
1	934494	5	benign
1	934494	5	N/A
1	934494	5	N/A
1	934521	1	benign
1	934521	1	N/A
1	934521	1	N/A
1	934585	2	benign
1	934585	2	N/A
1	934585	2	N/A
1	934654	1	probably
1	934654	1	N/A
1	934654	1	N/A
1	934667	1	N/A
1	934667	1	N/A
1	934667	1	N/A
1	934671	2	possibly
1	934671	2	N/A
1	934671	2	N/A
1	934684	20	probably
1	934684	20	N/A
1	934684	20	N/A
