Chr	gene_name	start	end	exon_list
11	ODF3	197304	200032	[197304-197412, 197560-197760, 198198-198299, 198463-198584, 199368-199508, 199943-200032]
11	BET1L	205469	207320	[205469-205666, 205951-206042, 207302-207320]
11	RIC8A	208854	214349	[208854-208937, 209270-209317, 209406-209999, 210570-210661, 211198-211348, 212415-212510, 212596-212758, 212836-212980, 213298-213417, 214229-214349]
11	SIRT3	216697	236327	[216697-216717, 218831-219040, 224077-224238, 230451-230551, 232982-233214, 233342-233533, 236047-236327]
11	PSMD13	237049	252599	[237049-237143, 238997-239075, 244040-244074, 244160-244215, 244425-244468, 244674-244760, 247276-247447, 248775-248854, 248931-249056, 250802-250864, 251545-251625, 251819-251935, 252504-252599]
11	NLRP6	278569	285303	[278569-278597, 279326-279606, 279833-279871, 280083-281838, 282701-282796, 284229-284399, 284474-284641, 285165-285303]
11	B4GALNT4	369803	381791	[369803-369953, 372108-372211, 372661-372753, 372851-372946, 373025-373115, 373190-373290, 373448-373515, 373749-373827, 375460-375526, 375638-375772, 375846-375955, 376073-376173, 376250-376350, 376420-377326, 379417-379700, 379865-380018, 380129-380201, 380291-380444, 380824-380950, 381668-381791]
11	PKP3	394292	404568	[394292-394523, 396607-396686, 396813-397444, 397538-397661, 398991-399195, 399966-400140, 400333-400450, 400534-400704, 403077-403262, 403617-403770, 403942-404134, 404235-404322, 404533-404568]
11	PTDSS2	450455	490581	[450455-450636, 460186-460287, 473894-473976, 479084-479151, 486938-487072, 487419-487469, 488198-488311, 488528-488646, 489399-489513, 489587-489732, 489882-490067, 490419-490581]
11	RNH1	494690	502161	[494690-494777, 494882-495052, 497970-498140, 498456-498626, 498762-498932, 499014-499184, 499828-499998, 500483-500653, 502061-502161]
11	HRAS	532635	534321	[532635-532754, 533452-533611, 533765-533943, 534211-534321]
11	HRAS	533295	534321	[533295-533357, 533452-533611, 533765-533943, 534211-534321]
11	LRRC56	540684	554275	[540684-540860, 541536-541623, 544719-544779, 549901-549997, 550071-550271, 551130-551301, 551650-551826, 551902-551966, 552089-552231, 552568-552701, 553962-554275]
11	LMNTD2	554979	560715	[554979-555110, 555304-555502, 555733-555929, 555995-556114, 556191-556374, 556491-556587, 556834-557096, 557398-557486, 557571-557639, 557883-558038, 558160-558247, 558613-558765, 558855-558978, 560682-560715]
11	RASSF7	561768	563644	[561768-561891, 562078-562775, 563188-563316, 563395-563477, 563557-563644]
11	IRF7	612644	615363	[612644-612799, 612998-613116, 613205-613594, 613784-613864, 613950-614036, 614173-614398, 614475-614533, 614796-615006, 615096-615258, 615344-615363]
11	IRF7	612644	615363	[612644-612799, 612998-613116, 613205-613594, 613784-613864, 614173-614398, 614475-614533, 614796-615006, 615096-615258, 615344-615363]
11	IRF7	612644	615317	[612644-612799, 612998-613116, 613205-613594, 613784-613864, 613950-614036, 614173-614398, 614475-614533, 614796-615006, 615096-615317]
