Chr	gene_name	start	end	exon_list
7	GET4	876645	895421	[876645-876799, 886055-886133, 886568-886649, 887369-887518, 890927-891065, 892277-892417, 893739-893814, 893898-893970, 895333-895421]
7	ADAP1	898920	954476	[898920-898948, 899032-899260, 899418-899489, 900101-900163, 900532-900615, 904125-904271, 905059-905171, 919967-920049, 926552-926643, 935374-935504, 954395-954476]
7	CYP2W1	983211	988821	[983211-983384, 984411-984573, 984949-985098, 985165-985322, 986623-986796, 987106-987244, 987346-987530, 988276-988417, 988634-988821]
7	C7orf50	997624	1127384	[997624-997803, 1000469-1000550, 1009949-1010142, 1127256-1127384]
7	GPR146	1057515	1058516	[1057515-1058516]
7	GPER1	1091728	1092855	[1091728-1092855]
7	ZFAND2A	1153068	1158211	[1153068-1153223, 1155452-1155583, 1157655-1157749, 1158157-1158211]
7	MICALL2	1434595	1459325	[1434595-1434671, 1435100-1435146, 1436741-1436855, 1437534-1437607, 1437889-1437979, 1438096-1438219, 1438288-1438352, 1438839-1438994, 1439924-1440084, 1440590-1440683, 1442191-1442483, 1444651-1445427, 1446712-1446827, 1447574-1447764, 1448619-1448760, 1450239-1450287, 1459183-1459325]
7	MAFK	1539192	1540374	[1539192-1539227, 1539940-1540374]
7	TMEM184A	1551537	1552937	[1551537-1552937]
7	PSMG3	1567697	1569338	[1567697-1567849, 1569123-1569338]
7	FTSJ2	2235121	2242168	[2235121-2235563, 2239417-2239706, 2242161-2242168]
7	NUDT1	2242991	2251000	[2242991-2243047, 2244562-2244725, 2249856-2250001, 2250828-2251000]
7	NUDT1	2244574	2251000	[2244574-2244725, 2249856-2250001, 2250828-2251000]
7	SNX8	2255055	2314420	[2255055-2255168, 2256873-2257022, 2257364-2257513, 2257734-2257802, 2263229-2263361, 2264297-2264457, 2269558-2269638, 2271849-2271970, 2275111-2275228, 2278099-2278304, 2314327-2314420]
7	EIF3B	2354921	2379496	[2354921-2355419, 2360709-2360901, 2362644-2362763, 2363069-2363126, 2363631-2363759, 2364371-2364528, 2366316-2366447, 2366524-2366590, 2366998-2367044, 2369471-2369681, 2371776-2371848, 2372672-2372794, 2374527-2374605, 2375388-2375526, 2376949-2377074, 2378688-2378765, 2379133-2379241, 2379393-2379496]
7	CHST12	2432639	2433883	[2432639-2433883]
7	BRAT1	2538068	2554430	[2538068-2538763, 2539178-2539350, 2539543-2539641, 2539785-2539887, 2540978-2541051, 2541297-2541483, 2541717-2541835, 2542119-2542210, 2543203-2543322, 2543589-2543961, 2544908-2545055, 2547323-2547477, 2554304-2554430]
7	GNA12	2731180	2844160	[2731180-2731749, 2733450-2733500, 2794927-2795142, 2843852-2844160]
7	CARD11	2906637	2958505	[2906637-2906841, 2910049-2910164, 2912171-2912295, 2913286-2913465, 2915236-2915371, 2917289-2917384, 2918490-2918586, 2919371-2919611, 2922633-2922759, 2923131-2923332, 2924232-2924364, 2926738-2926790, 2928597-2928697, 2929991-2930073, 2932534-2932585, 2934452-2934628, 2937036-2937233, 2937906-2938031, 2938678-2938830, 2939748-2939927, 2944211-2944536, 2945818-2945955, 2947574-2947786, 2958499-2958505]
7	RBAK	5048076	5065600	[5048076-5048090, 5057294-5057420, 5057683-5057778, 5063694-5065600]
7	RBAKDN	5078615	5079374	[5078615-5078653, 5079078-5079374]
7	WIPI2	5190419	5230946	[5190419-5190492, 5193117-5193170, 5199575-5199657, 5214534-5214703, 5216562-5216658, 5217089-5217186, 5217921-5218013, 5222601-5222671, 5225822-5225929, 5227179-5227343, 5228103-5228210, 5229607-5229737, 5230834-5230946]
7	SLC29A4	5287816	5302938	[5287816-5287984, 5290731-5290862, 5291123-5291236, 5291692-5291820, 5294859-5294933, 5296935-5297197, 5298987-5299125, 5299239-5299426, 5300421-5300661, 5302796-5302938]
7	ACTB	5527747	5529656	[5527747-5527890, 5528003-5528184, 5528280-5528718, 5529160-5529399, 5529534-5529656]
7	FSCN1	5592936	5605473	[5592936-5593767, 5603256-5603412, 5603495-5603616, 5603862-5604029, 5605271-5605473]
7	PMS2	5973398	6009018	[5973398-5973541, 5977587-5977756, 5978595-5978695, 5982823-5982990, 5986758-5987619, 5989799-5989954, 5991972-5992056, 5995533-5995632, 5997325-5997422, 5999107-5999274, 6002452-6002635, 6003689-6003791, 6003971-6004057, 6005891-6006030, 6008996-6009018]
7	AIMP2	6009363	6023690	[6009363-6009497, 6015145-6015351, 6017813-6018044, 6023302-6023690]
7	EIF2AK1	6024672	6059082	[6024672-6024800, 6026727-6026960, 6028614-6028696, 6028917-6029031, 6037423-6037523, 6038559-6038670, 6040891-6041218, 6042932-6042992, 6044561-6044660, 6046070-6046150, 6046991-6047090, 6048806-6048843, 6049911-6050044, 6054545-6054703, 6058965-6059082]
7	CYTH3	6164943	6272506	[6164943-6165015, 6165272-6165426, 6165544-6165615, 6165733-6165809, 6170534-6170645, 6170829-6170977, 6171201-6171313, 6173652-6173732, 6177822-6177940, 6187049-6187115, 6187656-6187720, 6190448-6190530, 6272473-6272506]
7	FAM220A	6144085	6161628	[6144085-6144105, 6161443-6161628]
7	RAC1	6374735	6402445	[6374735-6374769, 6387211-6387282, 6391923-6392040, 6400125-6400187, 6401867-6402026, 6402315-6402445]
7	RAC1	6374735	6402445	[6374735-6374769, 6387211-6387282, 6391923-6392040, 6398661-6398717, 6400125-6400187, 6401867-6402026, 6402315-6402445]
7	DAGLB	6409836	6447841	[6409836-6410034, 6410129-6410379, 6412810-6412882, 6412965-6413033, 6416626-6416753, 6416840-6416920, 6421726-6421803, 6424751-6424834, 6425987-6426113, 6430479-6430606, 6432836-6432958, 6434761-6435019, 6436361-6436532, 6445952-6446103, 6447747-6447841]
7	KDELR2	6463140	6484056	[6463140-6463174, 6466070-6466322, 6469595-6469753, 6474183-6474283, 6483966-6484056]
7	ZDHHC4	6580561	6588909	[6580561-6580677, 6581606-6581679, 6582072-6582250, 6583305-6583430, 6585015-6585259, 6588616-6588909]
7	C7orf26	6590283	6608160	[6590283-6590474, 6591645-6591866, 6594434-6594599, 6599828-6600355, 6602100-6602139, 6607959-6608160]
7	CCZ1B	6799223	6826196	[6799223-6799278, 6800947-6801074, 6801364-6801522, 6804937-6805054, 6806003-6806036, 6811951-6812062, 6812975-6813036, 6814763-6814844, 6819765-6819940, 6822280-6822363, 6823312-6823359, 6824088-6824165, 6824454-6824547, 6824639-6824736, 6826077-6826196]
7	C1GALT1	7234319	7243726	[7234319-7234538, 7238254-7238921, 7243523-7243726]
7	RPA3	7636999	7640417	[7636999-7637081, 7637863-7637971, 7639069-7639143, 7640319-7640417]
7	NDUFA4	10933635	10940056	[10933635-10933691, 10938089-10938146, 10938807-10938895, 10940015-10940056]
7	TMEM106B	12214810	12231974	[12214810-12215026, 12218457-12218520, 12224225-12224384, 12229678-12229818, 12230388-12230437, 12231061-12231114, 12231836-12231974]
7	ARL4A	12688254	12688856	[12688254-12688856]
7	SOSTDC1	16462547	16465667	[16462547-16462962, 16465463-16465667]
7	ANKMY2	16600760	16645572	[16600760-16600944, 16602379-16602508, 16604720-16604848, 16609629-16609764, 16610548-16610762, 16615743-16615903, 16624982-16625080, 16627039-16627177, 16636390-16636454, 16645506-16645572]
7	BZW2	16665443	16706087	[16665443-16665500, 16674411-16674587, 16681300-16681403, 16682779-16682844, 16685904-16686039, 16689796-16689905, 16694833-16695003, 16696914-16697060, 16698047-16698185, 16704546-16704668, 16706059-16706087]
7	TSPAN13	16753967	16783490	[16753967-16754029, 16776210-16776377, 16777041-16777121, 16777797-16777910, 16779002-16779115, 16783416-16783490]
