Chr	gene_name	start	end	exon_list
6	DUSP22	292539	350867	[292539-292559, 304627-304660, 311879-311961, 335113-335162, 345853-345927, 348102-348273, 348768-348840, 350821-350867]
6	IRF4	393152	407597	[393152-393367, 394820-395006, 395846-395934, 397107-397251, 398827-398934, 401423-401776, 405017-405129, 407454-407597]
6	HUS1B	656107	656943	[656107-656943]
6	FOXQ1	1312704	1313915	[1312704-1313915]
6	FOXF2	1389947	1394858	[1389947-1391117, 1394695-1394858]
6	FOXC1	1610445	1612106	[1610445-1612106]
6	GMDS	1624168	2245421	[1624168-1624230, 1624471-1624539, 1726415-1726511, 1742467-1742585, 1930102-1930229, 1959866-1959970, 1960773-1960965, 2115770-2115879, 2117468-2117555, 2124686-2124730, 2245320-2245421]
6	WRNIP1	2765622	2785281	[2765622-2766443, 2768690-2768881, 2770119-2770360, 2779262-2779491, 2783405-2783560, 2784323-2784402, 2785006-2785281]
6	WRNIP1	2765622	2785281	[2765622-2766443, 2768690-2768881, 2770194-2770360, 2779262-2779491, 2783405-2783560, 2784323-2784402, 2785006-2785281]
6	SERPINB1	2833607	2840585	[2833607-2834011, 2835855-2836022, 2836107-2836249, 2837881-2837998, 2838548-2838685, 2840418-2840585]
6	SERPINB9	2890162	2900610	[2890162-2890569, 2891832-2891987, 2893410-2893552, 2895390-2895507, 2896052-2896189, 2900443-2900610]
6	SERPINB6	2948297	2959331	[2948297-2948698, 2948913-2949068, 2953043-2953185, 2954591-2954708, 2955523-2955669, 2959167-2959331]
6	LINC01011	2934181	2934648	[2934181-2934648]
6	NQO2	3006552	3019654	[3006552-3006558, 3010024-3010188, 3012543-3012673, 3015529-3015642, 3016883-3016984, 3019478-3019654]
6	RIPK1	3076823	3113338	[3076823-3076986, 3077778-3077934, 3080978-3081115, 3083084-3083312, 3085258-3085407, 3089580-3089656, 3104224-3104314, 3105481-3106050, 3110802-3110954, 3113052-3113338]
6	BPHL	3118740	3152574	[3118740-3118846, 3123656-3123759, 3127241-3127407, 3129044-3129197, 3137361-3137492, 3140385-3140508, 3152487-3152574]
6	TUBB2A	3153862	3157462	[3153862-3154922, 3155624-3155734, 3156043-3156151, 3157406-3157462]
6	TUBB2B	3224750	3227542	[3224750-3225810, 3226158-3226268, 3226560-3226668, 3227486-3227542]
6	PXDC1	3723618	3751530	[3723618-3723735, 3727550-3727661, 3737078-3737195, 3738056-3738147, 3751275-3751530]
6	FAM50B	3849811	3850788	[3849811-3850788]
6	PRPF4B	4021425	4060615	[4021425-4021465, 4031558-4032754, 4037396-4037569, 4040771-4040926, 4042486-4042567, 4043812-4044022, 4047174-4047247, 4049015-4049105, 4049731-4049878, 4051956-4052093, 4052719-4052872, 4056320-4056434, 4057035-4057186, 4058727-4058813, 4060412-4060615]
6	FAM217A	4068695	4077413	[4068695-4069919, 4073274-4073341, 4073432-4073506, 4074442-4074455, 4074576-4074660, 4077354-4077413]
6	ECI2	4115873	4133670	[4115873-4116028, 4117307-4117450, 4119185-4119274, 4125249-4125369, 4126134-4126236, 4127761-4127830, 4130371-4130559, 4130766-4130864, 4133548-4133670]
6	CDYL	4776783	4954055	[4776783-4776806, 4891712-4892378, 4935514-4935770, 4937564-4937736, 4943545-4943755, 4952265-4952408, 4953897-4954055]
6	CDYL	4880761	4899288	[4880761-4881003, 4882797-4882969, 4888778-4888988, 4897498-4897641, 4899130-4899288]
6	LYRM4	5109422	5260732	[5109422-5109490, 5216617-5216737, 5260647-5260732]
6	FARS2	5368570	5771428	[5368570-5369181, 5404541-5404700, 5431040-5431171, 5545179-5545339, 5613168-5613319, 5771290-5771428]
6	NRN1	5998975	6006748	[5998975-5999203, 6002352-6002496, 6006694-6006748]
6	F13A1	6145618	6318663	[6145618-6145771, 6151812-6151948, 6167457-6167617, 6174579-6174866, 6181987-6182140, 6195796-6195884, 6197222-6197325, 6222032-6222170, 6224685-6224859, 6248311-6248418, 6250810-6250928, 6266557-6266808, 6305350-6305538, 6318534-6318663]
6	LY86-AS1	6509538	6536676	[6509538-6509619, 6536387-6536676]
6	LY86	6588734	6654626	[6588734-6588869, 6624925-6625011, 6626292-6626420, 6649624-6649676, 6654543-6654626]
6	SSR1	7289863	7313119	[7289863-7289930, 7295391-7295484, 7297922-7298000, 7298746-7298822, 7301309-7301571, 7303549-7303636, 7309916-7310028, 7313041-7313119]
6	RIOK1	7390002	7417440	[7390002-7390072, 7393098-7393302, 7395052-7395142, 7396702-7396771, 7398697-7398739, 7400957-7401049, 7402602-7402714, 7402816-7402896, 7403940-7404026, 7404417-7404554, 7404917-7405020, 7405248-7405354, 7410385-7410450, 7411331-7411450, 7412888-7412941, 7414237-7414389, 7417330-7417440]
6	DSP	7541915	7585877	[7541915-7542084, 7555717-7555819, 7558115-7558263, 7559225-7559399, 7562651-7562779, 7563735-7563785, 7565358-7565519, 7566376-7566480, 7567353-7567448, 7567780-7567905, 7568436-7568588, 7569185-7569339, 7570436-7570562, 7571382-7571583, 7571841-7572067, 7574085-7574251, 7574656-7574794, 7575294-7575487, 7576293-7576455, 7576958-7577041, 7577778-7577885, 7578463-7578561, 7579274-7581568, 7582641-7585877]
