Chr	gene_name	start	end	exon_list
3	CHL1	319776	405710	[319776-319866, 325958-326063, 328166-328353, 340793-340915, 341911-342081, 342983-343030, 344588-344708, 349358-349542, 354639-354770, 360283-360423, 361698-361809, 363216-363382, 365949-366114, 377817-377941, 382178-382279, 382473-382670, 383815-383885, 389251-389473, 390700-390815, 390954-391158, 391674-391796, 394692-394871, 398226-398384, 399016-399147, 401625-401697, 405494-405710]
3	CNTN6	1148008	1403417	[1148008-1148062, 1220686-1220812, 1227817-1227992, 1278412-1278507, 1295600-1295803, 1297888-1297990, 1321649-1321833, 1325814-1325950, 1327456-1327585, 1329784-1329934, 1352323-1352450, 1372298-1372473, 1372837-1372954, 1373603-1373761, 1373923-1374072, 1377004-1377074, 1382941-1383175, 1383292-1383407, 1385610-1385796, 1401432-1401544, 1402317-1402485, 1403317-1403417]
3	CNTN4	2900728	3056219	[2900728-2900820, 2902875-2903004, 2925628-2925778, 2988344-2988471, 3026101-3026276, 3030854-3030974, 3034631-3034789, 3037178-3037327, 3038932-3039002, 3040036-3040270, 3042309-3042421, 3042976-3043162, 3043591-3043703, 3053806-3053974, 3056119-3056219]
3	IL5RA	3070224	3104983	[3070224-3070310, 3074781-3074865, 3076530-3076626, 3092223-3092361, 3095298-3095443, 3097869-3098056, 3098136-3098289, 3101691-3101829, 3102674-3102819, 3104902-3104983]
3	IL5RA	3090242	3104983	[3090242-3090255, 3092223-3092361, 3095298-3095443, 3097869-3098056, 3098136-3098289, 3101691-3101829, 3102674-3102819, 3104902-3104983]
3	TRNT1	3129040	3148153	[3129040-3129187, 3137259-3137452, 3140509-3140647, 3144583-3144709, 3146429-3146622, 3147449-3147702, 3147905-3148153]
3	CRBN	3150864	3179686	[3150864-3151044, 3152455-3152586, 3153423-3153487, 3153959-3154074, 3154746-3154830, 3156218-3156280, 3167633-3167792, 3172775-3172924, 3174058-3174260, 3175162-3175268, 3179620-3179686]
3	SETMAR	4303370	4317245	[4303370-4303525, 4312897-4313760, 4316211-4317245]
3	SUMF1	4362143	4467244	[4362143-4362253, 4376329-4376388, 4410864-4410977, 4417127-4417241, 4418009-4418131, 4420063-4420145, 4449265-4449339, 4452875-4453048, 4466975-4467244]
3	BHLHE40	4979718	4983691	[4979718-4979797, 4979961-4980030, 4980300-4980407, 4981391-4981514, 4982835-4983691]
3	ARL8B	5122465	5178712	[5122465-5122587, 5170502-5170582, 5172149-5172222, 5172646-5172739, 5174016-5174083, 5174343-5174413, 5178663-5178712]
