"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",2
"9",2
"10",2
"11",3
"12",3
"13",3
"14",3
"15",3
"16",3
"17",4
"18",4
"19",4
"20",4
"21",4
"22",4
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",4
"33",4
"34",4
"35",4
"36",4
"37",4
"38",4
"39",4
"40",4
"41",4
"42",4
"43",4
"44",4
"45",4
"46",4
"47",4
"48",4
"49",4
"50",4
"51",4
"52",4
"53",4
"54",4
"55",4
"56",4
"57",4
"58",4
"59",4
"60",4
"61",4
"62",4
"63",4
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",4
"71",5
"72",5
"73",5
"74",5
"75",5
"76",5
"77",5
"78",5
"79",5
"80",5
"81",5
"82",5
"83",5
"84",5
"85",5
"86",6
"87",6
"88",6
"89",6
"90",6
"91",6
"92",6
"93",6
"94",6
"95",6
"96",6
"97",6
"98",6
"99",6
"100",6
"101",6
"102",6
"103",6
"104",6
"105",6
"106",6
"107",6
"108",6
"109",6
"110",6
"111",7
"112",7
"113",7
"114",7
"115",7
"116",7
"117",7
"118",7
"119",7
"120",7
"121",7
"122",7
"123",7
"124",7
"125",7
"126",7
"127",7
"128",7
"129",7
"130",7
"131",8
"132",8
"133",8
"134",8
"135",8
"136",8
"137",8
"138",8
"139",8
"140",8
"141",8
"142",8
"143",8
"144",8
"145",9
"146",9
"147",9
"148",9
"149",9
"150",9
"151",9
"152",9
"153",9
"154",9
"155",9
"156",9
"157",9
"158",9
"159",9
"160",9
"161",9
"162",9
"163",9
"164",9
"165",9
"166",9
"167",9
"168",9
"169",9
"170",9
"171",9
"172",9
"173",9
"174",9
"175",9
"176",9
"177",10
"178",10
"179",10
"180",10
"181",10
"182",10
"183",10
"184",10
"185",10
"186",10
"187",11
"188",11
"189",11
"190",11
"191",11
"192",11
"193",11
"194",11
"195",11
"196",11
"197",11
"198",11
"199",12
"200",12
"201",12
"202",12
"203",12
"204",12
"205",12
"206",12
"207",12
"208",12
"209",12
"210",12
"211",12
"212",12
"213",12
"214",12
"215",12
"216",12
"217",12
"218",12
"219",12
"220",13
"221",13
"222",13
"223",13
"224",13
"225",13
"226",13
"227",13
"228",13
"229",13
"230",13
"231",13
"232",13
"233",14
"234",14
"235",14
"236",14
"237",14
"238",14
"239",14
"240",14
"241",14
"242",14
"243",14
"244",14
"245",14
"246",14
"247",15
"248",15
"249",15
"250",15
"251",15
"252",15
"253",15
"254",15
"255",16
"256",16
"257",16
"258",16
"259",17
"260",17
"261",17
"262",17
"263",17
"264",17
"265",17
"266",17
"267",17
"268",17
"269",17
"270",17
"271",17
"272",17
"273",17
"274",17
"275",17
"276",17
"277",17
"278",17
"279",17
"280",17
"281",17
"282",17
"283",17
"284",17
"285",17
"286",17
"287",17
"288",18
"289",18
"290",18
"291",19
"292",19
"293",19
"294",19
"295",19
"296",19
"297",19
"298",19
"299",19
"300",19
"301",19
"302",19
"303",19
"304",19
"305",19
"306",19
"307",19
"308",19
"309",19
"310",19
"311",19
"312",19
"313",19
"314",19
"315",19
"316",19
"317",19
"318",19
"319",19
"320",20
"321",20
"322",20
"323",20
"324",20
"325",20
"326",20
"327",21
"328",21
"329",21
"330",21
"331",21
"332",21
"333",21
"334",21
"335",21
"336",21
"337",21
"338",21
"339",21
"340",21
"341",21
"342",22
"343",22
"344",22
"345",22
"346",22
"347",22
"348",22
"349",22
"350",22
"351",22
"352",22
"353",22
"354",22
"355",22
"356",22
"357",22
"358",22
"359",22
"360",22
"361",22
"362",22
"363",22
"364",22
"365",23
"366",23
"367",23
"368",23
"369",23
"370",23
"371",23
"372",23
"373",23
"374",23
"375",23
"376",23
"377",23
"378",23
"379",23
"380",23
"381",23
"382",23
"383",23
"384",23
"385",23
"386",23
"387",23
"388",23
"389",23
"390",23
"391",23
"392",24
"393",24
"394",24
"395",24
"396",24
"397",24
"398",24
"399",24
"400",24
"401",24
"402",24
"403",25
"404",25
"405",25
"406",25
"407",25
"408",25
"409",25
"410",25
"411",25
"412",25
"413",25
"414",25
"415",25
"416",25
"417",25
"418",25
"419",26
"420",26
"421",26
"422",26
"423",26
"424",26
"425",26
"426",26
"427",26
"428",26
"429",26
"430",26
"431",26
"432",26
"433",26
"434",26
"435",26
"436",26
"437",26
"438",26
"439",26
"440",26
"441",26
"442",26
"443",26
"444",26
"445",26
"446",26
"447",26
"448",26
"449",26
"450",26
"451",26
"452",26
"453",26
"454",27
"455",27
"456",27
"457",27
"458",27
"459",27
"460",27
"461",27
"462",27
"463",28
"464",28
"465",29
"466",29
"467",29
"468",29
"469",29
"470",29
"471",29
"472",29
"473",30
"474",30
"475",30
"476",30
"477",30
"478",30
"479",30
"480",30
"481",31
